Subject,Start Date,Start Time,End Date,End Time,Description
"*ОРО Зал DL *ОРО(ПЗПІ-23-)-1; №1",06/09/2025,07:45 AM,06/09/2025,09:20 AM,"*ОРО Зал DL *ОРО(ПЗПІ-23-)-1"
"ОПJа Пз DL ПЗПІ-23-2; №1",03/10/2025,02:55 PM,03/10/2025,04:30 PM,"ОПJа Пз DL ПЗПІ-23-2"
"ОПJа Лб DL ПЗПІ-23-2; №3",03/17/2025,02:55 PM,03/17/2025,04:30 PM,"ОПJа Лб DL ПЗПІ-23-2"
"ОПJа Лб DL ПЗПІ-23-2; №3",04/07/2025,02:55 PM,04/07/2025,04:30 PM,"ОПJа Лб DL ПЗПІ-23-2"
"ОПJа Пз DL ПЗПІ-23-2; №1",04/21/2025,02:55 PM,04/21/2025,04:30 PM,"ОПJа Пз DL ПЗПІ-23-2"
"ОПJа Лб DL ПЗПІ-23-2; №3",04/28/2025,02:55 PM,04/28/2025,04:30 PM,"ОПJа Лб DL ПЗПІ-23-2"
"ОПJа Лб DL ПЗПІ-23-2; №3",05/19/2025,02:55 PM,05/19/2025,04:30 PM,"ОПJа Лб DL ПЗПІ-23-2"
"ОПJа Лб DL ПЗПІ-23-2; №3",06/02/2025,02:55 PM,06/02/2025,04:30 PM,"ОПJа Лб DL ПЗПІ-23-2"
"ОПJа Пз DL ПЗПІ-23-2; №2",03/10/2025,04:40 PM,03/10/2025,06:15 PM,"ОПJа Пз DL ПЗПІ-23-2"
"ОПJа Лб DL ПЗПІ-23-2; №4",03/17/2025,04:40 PM,03/17/2025,06:15 PM,"ОПJа Лб DL ПЗПІ-23-2"
"ОПJа Лб DL ПЗПІ-23-2; №4",04/07/2025,04:40 PM,04/07/2025,06:15 PM,"ОПJа Лб DL ПЗПІ-23-2"
"ОПJа Пз DL ПЗПІ-23-2; №2",04/21/2025,04:40 PM,04/21/2025,06:15 PM,"ОПJа Пз DL ПЗПІ-23-2"
"ОПJа Лб DL ПЗПІ-23-2; №4",04/28/2025,04:40 PM,04/28/2025,06:15 PM,"ОПJа Лб DL ПЗПІ-23-2"
"ОПJа Лб DL ПЗПІ-23-2; №4",05/19/2025,04:40 PM,05/19/2025,06:15 PM,"ОПJа Лб DL ПЗПІ-23-2"
"ОПJа Лб DL ПЗПІ-23-2; №4",06/02/2025,04:40 PM,06/02/2025,06:15 PM,"ОПJа Лб DL ПЗПІ-23-2"
"ОС Лб DL ПЗПІ-23-2; №1",03/04/2025,07:45 AM,03/04/2025,09:20 AM,"ОС Лб DL ПЗПІ-23-2"
"ОС Лб DL ПЗПІ-23-2; №1",03/18/2025,07:45 AM,03/18/2025,09:20 AM,"ОС Лб DL ПЗПІ-23-2"
"ОС Лб DL ПЗПІ-23-2; №1",04/01/2025,07:45 AM,04/01/2025,09:20 AM,"ОС Лб DL ПЗПІ-23-2"
"ОС Лб DL ПЗПІ-23-2; №1",04/15/2025,07:45 AM,04/15/2025,09:20 AM,"ОС Лб DL ПЗПІ-23-2"
"ОС Лб DL ПЗПІ-23-2; №1",04/29/2025,07:45 AM,04/29/2025,09:20 AM,"ОС Лб DL ПЗПІ-23-2"
"ОС Лб DL ПЗПІ-23-2; №1",05/13/2025,07:45 AM,05/13/2025,09:20 AM,"ОС Лб DL ПЗПІ-23-2"
"ОС Лб DL ПЗПІ-23-2; №1",05/27/2025,07:45 AM,05/27/2025,09:20 AM,"ОС Лб DL ПЗПІ-23-2"
"ОС Лб DL ПЗПІ-23-2; №1",06/03/2025,07:45 AM,06/03/2025,09:20 AM,"ОС Лб DL ПЗПІ-23-2"
"ІМ Екз DL ПЗПІ-23-2; №1",06/24/2025,07:45 AM,06/24/2025,09:20 AM,"ІМ Екз DL ПЗПІ-23-2"
"ОС Лб DL ПЗПІ-23-2; №2",03/04/2025,09:30 AM,03/04/2025,11:05 AM,"ОС Лб DL ПЗПІ-23-2"
"ОС Лб DL ПЗПІ-23-2; №2",03/18/2025,09:30 AM,03/18/2025,11:05 AM,"ОС Лб DL ПЗПІ-23-2"
"ОС Лб DL ПЗПІ-23-2; №2",04/01/2025,09:30 AM,04/01/2025,11:05 AM,"ОС Лб DL ПЗПІ-23-2"
"ОС Лб DL ПЗПІ-23-2; №2",04/15/2025,09:30 AM,04/15/2025,11:05 AM,"ОС Лб DL ПЗПІ-23-2"
"ОС Лб DL ПЗПІ-23-2; №2",04/29/2025,09:30 AM,04/29/2025,11:05 AM,"ОС Лб DL ПЗПІ-23-2"
"ОС Лб DL ПЗПІ-23-2; №2",05/13/2025,09:30 AM,05/13/2025,11:05 AM,"ОС Лб DL ПЗПІ-23-2"
"ОС Лб DL ПЗПІ-23-2; №2",05/27/2025,09:30 AM,05/27/2025,11:05 AM,"ОС Лб DL ПЗПІ-23-2"
"ОС Лб DL ПЗПІ-23-2; №2",06/03/2025,09:30 AM,06/03/2025,11:05 AM,"ОС Лб DL ПЗПІ-23-2"
"ІМ Екз DL ПЗПІ-23-2; №2",06/24/2025,09:30 AM,06/24/2025,11:05 AM,"ІМ Екз DL ПЗПІ-23-2"
"ІМ Пз DL ПЗПІ-23-2; №1",02/11/2025,11:15 AM,02/11/2025,12:50 PM,"ІМ Пз DL ПЗПІ-23-2"
"ІМ Пз DL ПЗПІ-23-2; №1",02/18/2025,11:15 AM,02/18/2025,12:50 PM,"ІМ Пз DL ПЗПІ-23-2"
"Філ Пз DL ПЗПІ-23-2; №1",02/25/2025,11:15 AM,02/25/2025,12:50 PM,"Філ Пз DL ПЗПІ-23-2"
"Філ Пз DL ПЗПІ-23-2; №3",03/04/2025,11:15 AM,03/04/2025,12:50 PM,"Філ Пз DL ПЗПІ-23-2"
"ІМ Пз DL ПЗПІ-23-2; №1",03/11/2025,11:15 AM,03/11/2025,12:50 PM,"ІМ Пз DL ПЗПІ-23-2"
"Філ Пз DL ПЗПІ-23-2; №3",03/18/2025,11:15 AM,03/18/2025,12:50 PM,"Філ Пз DL ПЗПІ-23-2"
"ІМ Пз DL ПЗПІ-23-2; №1",03/25/2025,11:15 AM,03/25/2025,12:50 PM,"ІМ Пз DL ПЗПІ-23-2"
"Філ Пз DL ПЗПІ-23-2; №3",04/01/2025,11:15 AM,04/01/2025,12:50 PM,"Філ Пз DL ПЗПІ-23-2"
"ІМ Пз DL ПЗПІ-23-2; №1",04/08/2025,11:15 AM,04/08/2025,12:50 PM,"ІМ Пз DL ПЗПІ-23-2"
"Філ Пз DL ПЗПІ-23-2; №3",04/15/2025,11:15 AM,04/15/2025,12:50 PM,"Філ Пз DL ПЗПІ-23-2"
"ІМ Пз DL ПЗПІ-23-2; №1",04/22/2025,11:15 AM,04/22/2025,12:50 PM,"ІМ Пз DL ПЗПІ-23-2"
"Філ Пз DL ПЗПІ-23-2; №3",04/29/2025,11:15 AM,04/29/2025,12:50 PM,"Філ Пз DL ПЗПІ-23-2"
"ІМ Пз DL ПЗПІ-23-2; №1",05/06/2025,11:15 AM,05/06/2025,12:50 PM,"ІМ Пз DL ПЗПІ-23-2"
"Філ Пз DL ПЗПІ-23-2; №3",05/13/2025,11:15 AM,05/13/2025,12:50 PM,"Філ Пз DL ПЗПІ-23-2"
"ІМ Пз DL ПЗПІ-23-2; №1",05/20/2025,11:15 AM,05/20/2025,12:50 PM,"ІМ Пз DL ПЗПІ-23-2"
"Філ Пз DL ПЗПІ-23-2; №3",05/27/2025,11:15 AM,05/27/2025,12:50 PM,"Філ Пз DL ПЗПІ-23-2"
"ІМ Пз DL ПЗПІ-23-2; №3",06/03/2025,11:15 AM,06/03/2025,12:50 PM,"ІМ Пз DL ПЗПІ-23-2"
"ІМ Екз DL ПЗПІ-23-2; №3",06/24/2025,11:15 AM,06/24/2025,12:50 PM,"ІМ Екз DL ПЗПІ-23-2"
"ІМ Пз DL ПЗПІ-23-2; №2",02/11/2025,01:10 PM,02/11/2025,02:45 PM,"ІМ Пз DL ПЗПІ-23-2"
"ІМ Пз DL ПЗПІ-23-2; №2",02/18/2025,01:10 PM,02/18/2025,02:45 PM,"ІМ Пз DL ПЗПІ-23-2"
"ІМ Пз DL ПЗПІ-23-2; №2",02/25/2025,01:10 PM,02/25/2025,02:45 PM,"ІМ Пз DL ПЗПІ-23-2"
"ІМ Пз DL ПЗПІ-23-2; №4",03/04/2025,01:10 PM,03/04/2025,02:45 PM,"ІМ Пз DL ПЗПІ-23-2"
"ІМ Пз DL ПЗПІ-23-2; №2",03/11/2025,01:10 PM,03/11/2025,02:45 PM,"ІМ Пз DL ПЗПІ-23-2"
"ІМ Пз DL ПЗПІ-23-2; №4",03/18/2025,01:10 PM,03/18/2025,02:45 PM,"ІМ Пз DL ПЗПІ-23-2"
"ІМ Пз DL ПЗПІ-23-2; №2",03/25/2025,01:10 PM,03/25/2025,02:45 PM,"ІМ Пз DL ПЗПІ-23-2"
"ІМ Пз DL ПЗПІ-23-2; №4",04/01/2025,01:10 PM,04/01/2025,02:45 PM,"ІМ Пз DL ПЗПІ-23-2"
"ІМ Пз DL ПЗПІ-23-2; №2",04/08/2025,01:10 PM,04/08/2025,02:45 PM,"ІМ Пз DL ПЗПІ-23-2"
"ІМ Пз DL ПЗПІ-23-2; №4",04/15/2025,01:10 PM,04/15/2025,02:45 PM,"ІМ Пз DL ПЗПІ-23-2"
"ІМ Пз DL ПЗПІ-23-2; №2",04/22/2025,01:10 PM,04/22/2025,02:45 PM,"ІМ Пз DL ПЗПІ-23-2"
"ІМ Пз DL ПЗПІ-23-2; №4",04/29/2025,01:10 PM,04/29/2025,02:45 PM,"ІМ Пз DL ПЗПІ-23-2"
"ІМ Пз DL ПЗПІ-23-2; №2",05/06/2025,01:10 PM,05/06/2025,02:45 PM,"ІМ Пз DL ПЗПІ-23-2"
"ІМ Пз DL ПЗПІ-23-2; №4",05/13/2025,01:10 PM,05/13/2025,02:45 PM,"ІМ Пз DL ПЗПІ-23-2"
"ІМ Пз DL ПЗПІ-23-2; №2",05/20/2025,01:10 PM,05/20/2025,02:45 PM,"ІМ Пз DL ПЗПІ-23-2"
"ІМ Пз DL ПЗПІ-23-2; №4",05/27/2025,01:10 PM,05/27/2025,02:45 PM,"ІМ Пз DL ПЗПІ-23-2"
"ОС Пз DL ПЗПІ-23-2; №3",02/25/2025,02:55 PM,02/25/2025,04:30 PM,"ОС Пз DL ПЗПІ-23-2"
"ОС Пз DL ПЗПІ-23-2; №3",03/11/2025,02:55 PM,03/11/2025,04:30 PM,"ОС Пз DL ПЗПІ-23-2"
"ОС Пз DL ПЗПІ-23-2; №3",03/25/2025,02:55 PM,03/25/2025,04:30 PM,"ОС Пз DL ПЗПІ-23-2"
"ОС Пз DL ПЗПІ-23-2; №3",04/08/2025,02:55 PM,04/08/2025,04:30 PM,"ОС Пз DL ПЗПІ-23-2"
"ОС Пз DL ПЗПІ-23-2; №3",04/22/2025,02:55 PM,04/22/2025,04:30 PM,"ОС Пз DL ПЗПІ-23-2"
"ОС Пз DL ПЗПІ-23-2; №3",05/06/2025,02:55 PM,05/06/2025,04:30 PM,"ОС Пз DL ПЗПІ-23-2"
"ОС Конс DL ПЗПІ-23-2; №1",06/10/2025,04:40 PM,06/10/2025,06:15 PM,"ОС Конс DL ПЗПІ-23-2"
"*ВІА Пз DL *ВІА(ПЗПІ-23-)-2; №1",03/19/2025,07:45 AM,03/19/2025,09:20 AM,"*ВІА Пз DL *ВІА(ПЗПІ-23-)-2"
"*ВІА Лб DL *ВІА(ПЗПІ-23-)-2; №1",03/26/2025,07:45 AM,03/26/2025,09:20 AM,"*ВІА Лб DL *ВІА(ПЗПІ-23-)-2"
"СмП Лб DL ПЗПІ-23-2; №1",04/02/2025,07:45 AM,04/02/2025,09:20 AM,"СмП Лб DL ПЗПІ-23-2"
"*ВІА Лб DL *ВІА(ПЗПІ-23-)-2; №1",04/09/2025,07:45 AM,04/09/2025,09:20 AM,"*ВІА Лб DL *ВІА(ПЗПІ-23-)-2"
"*ВІА Пз DL *ВІА(ПЗПІ-23-)-2; №1",04/23/2025,07:45 AM,04/23/2025,09:20 AM,"*ВІА Пз DL *ВІА(ПЗПІ-23-)-2"
"*ВІА Лб DL *ВІА(ПЗПІ-23-)-2; №1",04/30/2025,07:45 AM,04/30/2025,09:20 AM,"*ВІА Лб DL *ВІА(ПЗПІ-23-)-2"
"*ВІА Лб DL *ВІА(ПЗПІ-23-)-2; №1",05/14/2025,07:45 AM,05/14/2025,09:20 AM,"*ВІА Лб DL *ВІА(ПЗПІ-23-)-2"
"*ВІА Лб DL *ВІА(ПЗПІ-23-)-2; №1",05/28/2025,07:45 AM,05/28/2025,09:20 AM,"*ВІА Лб DL *ВІА(ПЗПІ-23-)-2"
"СмП Лб DL ПЗПІ-23-2; №1",06/04/2025,07:45 AM,06/04/2025,09:20 AM,"СмП Лб DL ПЗПІ-23-2"
"СмП Пз DL ПЗПІ-23-2; №1",03/05/2025,09:30 AM,03/05/2025,11:05 AM,"СмП Пз DL ПЗПІ-23-2"
"*ВІА Пз DL *ВІА(ПЗПІ-23-)-2; №2",03/19/2025,09:30 AM,03/19/2025,11:05 AM,"*ВІА Пз DL *ВІА(ПЗПІ-23-)-2"
"*ВІА Лб DL *ВІА(ПЗПІ-23-)-2; №2",03/26/2025,09:30 AM,03/26/2025,11:05 AM,"*ВІА Лб DL *ВІА(ПЗПІ-23-)-2"
"СмП Лб DL ПЗПІ-23-2; №2",04/02/2025,09:30 AM,04/02/2025,11:05 AM,"СмП Лб DL ПЗПІ-23-2"
"*ВІА Лб DL *ВІА(ПЗПІ-23-)-2; №2",04/09/2025,09:30 AM,04/09/2025,11:05 AM,"*ВІА Лб DL *ВІА(ПЗПІ-23-)-2"
"*ВІА Пз DL *ВІА(ПЗПІ-23-)-2; №2",04/23/2025,09:30 AM,04/23/2025,11:05 AM,"*ВІА Пз DL *ВІА(ПЗПІ-23-)-2"
"*ВІА Лб DL *ВІА(ПЗПІ-23-)-2; №2",04/30/2025,09:30 AM,04/30/2025,11:05 AM,"*ВІА Лб DL *ВІА(ПЗПІ-23-)-2"
"*ВІА Лб DL *ВІА(ПЗПІ-23-)-2; №2",05/14/2025,09:30 AM,05/14/2025,11:05 AM,"*ВІА Лб DL *ВІА(ПЗПІ-23-)-2"
"*ВІА Лб DL *ВІА(ПЗПІ-23-)-2; №2",05/28/2025,09:30 AM,05/28/2025,11:05 AM,"*ВІА Лб DL *ВІА(ПЗПІ-23-)-2"
"СмП Лб DL ПЗПІ-23-2; №2",06/04/2025,09:30 AM,06/04/2025,11:05 AM,"СмП Лб DL ПЗПІ-23-2"
"ПрПА Лк DL ПЗПІ-23-1,2,3,4,5; №1",02/12/2025,11:15 AM,02/12/2025,12:50 PM,"ПрПА Лк DL ПЗПІ-23-1,2,3,4,5"
"ПрПА Лк DL ПЗПІ-23-1,2,3,4,5; №1",02/19/2025,11:15 AM,02/19/2025,12:50 PM,"ПрПА Лк DL ПЗПІ-23-1,2,3,4,5"
"ПрПА Лк DL ПЗПІ-23-1,2,3,4,5; №1",02/26/2025,11:15 AM,02/26/2025,12:50 PM,"ПрПА Лк DL ПЗПІ-23-1,2,3,4,5"
"ПрПА Лк DL ПЗПІ-23-1,2,3,4,5; №2",03/05/2025,11:15 AM,03/05/2025,12:50 PM,"ПрПА Лк DL ПЗПІ-23-1,2,3,4,5"
"ПрПА Лк DL ПЗПІ-23-1,2,3,4,5; №1",03/12/2025,11:15 AM,03/12/2025,12:50 PM,"ПрПА Лк DL ПЗПІ-23-1,2,3,4,5"
"ПрПА Лк DL ПЗПІ-23-1,2,3,4,5; №3",03/19/2025,11:15 AM,03/19/2025,12:50 PM,"ПрПА Лк DL ПЗПІ-23-1,2,3,4,5"
"ПрПА Лк DL ПЗПІ-23-1,2,3,4,5; №3",03/26/2025,11:15 AM,03/26/2025,12:50 PM,"ПрПА Лк DL ПЗПІ-23-1,2,3,4,5"
"ПрПА Лк DL ПЗПІ-23-1,2,3,4,5; №3",04/02/2025,11:15 AM,04/02/2025,12:50 PM,"ПрПА Лк DL ПЗПІ-23-1,2,3,4,5"
"СмП Лк DL ПЗПІ-23-1,2,3,4,5; №3",04/09/2025,11:15 AM,04/09/2025,12:50 PM,"СмП Лк DL ПЗПІ-23-1,2,3,4,5"
"СмП Лб DL ПЗПІ-23-2; №3",04/23/2025,11:15 AM,04/23/2025,12:50 PM,"СмП Лб DL ПЗПІ-23-2"
"СмП Лб DL ПЗПІ-23-2; №1",05/07/2025,11:15 AM,05/07/2025,12:50 PM,"СмП Лб DL ПЗПІ-23-2"
"СмП Лк DL ПЗПІ-23-1,2,3,4,5; №2",02/12/2025,01:10 PM,02/12/2025,02:45 PM,"СмП Лк DL ПЗПІ-23-1,2,3,4,5"
"СмП Лк DL ПЗПІ-23-1,2,3,4,5; №2",02/19/2025,01:10 PM,02/19/2025,02:45 PM,"СмП Лк DL ПЗПІ-23-1,2,3,4,5"
"СмП Лк DL ПЗПІ-23-1,2,3,4,5; №2",02/26/2025,01:10 PM,02/26/2025,02:45 PM,"СмП Лк DL ПЗПІ-23-1,2,3,4,5"
"СмП Лк DL ПЗПІ-23-1,2,3,4,5; №3",03/05/2025,01:10 PM,03/05/2025,02:45 PM,"СмП Лк DL ПЗПІ-23-1,2,3,4,5"
"СмП Лк DL ПЗПІ-23-1,2,3,4,5; №2",03/12/2025,01:10 PM,03/12/2025,02:45 PM,"СмП Лк DL ПЗПІ-23-1,2,3,4,5"
"СмП Лк DL ПЗПІ-23-1,2,3,4,5; №4",03/19/2025,01:10 PM,03/19/2025,02:45 PM,"СмП Лк DL ПЗПІ-23-1,2,3,4,5"
"СмП Лк DL ПЗПІ-23-1,2,3,4,5; №4",03/26/2025,01:10 PM,03/26/2025,02:45 PM,"СмП Лк DL ПЗПІ-23-1,2,3,4,5"
"ОПJа Лк DL ПЗПІ-23-1,2,3,4,5; №4",04/02/2025,01:10 PM,04/02/2025,02:45 PM,"ОПJа Лк DL ПЗПІ-23-1,2,3,4,5"
"СмП Лк DL ПЗПІ-23-1,2,3,4,5; №4",04/09/2025,01:10 PM,04/09/2025,02:45 PM,"СмП Лк DL ПЗПІ-23-1,2,3,4,5"
"СмП Лб DL ПЗПІ-23-2; №4",04/23/2025,01:10 PM,04/23/2025,02:45 PM,"СмП Лб DL ПЗПІ-23-2"
"СмП Лб DL ПЗПІ-23-2; №2",05/07/2025,01:10 PM,05/07/2025,02:45 PM,"СмП Лб DL ПЗПІ-23-2"
"ОС Екз DL ПЗПІ-23-2; №1",06/11/2025,01:10 PM,06/11/2025,02:45 PM,"ОС Екз DL ПЗПІ-23-2"
"ПрПА Екз DL ПЗПІ-23-2; №1",06/18/2025,01:10 PM,06/18/2025,02:45 PM,"ПрПА Екз DL ПЗПІ-23-2"
"ОС Лк DL ПЗПІ-23-1,2,3,4,5; №3",02/12/2025,02:55 PM,02/12/2025,04:30 PM,"ОС Лк DL ПЗПІ-23-1,2,3,4,5"
"ОС Лк DL ПЗПІ-23-1,2,3,4,5; №3",02/19/2025,02:55 PM,02/19/2025,04:30 PM,"ОС Лк DL ПЗПІ-23-1,2,3,4,5"
"ОС Екз DL ПЗПІ-23-2; №2",06/11/2025,02:55 PM,06/11/2025,04:30 PM,"ОС Екз DL ПЗПІ-23-2"
"ПрПА Екз DL ПЗПІ-23-2; №2",06/18/2025,02:55 PM,06/18/2025,04:30 PM,"ПрПА Екз DL ПЗПІ-23-2"
"ОПJа Лк DL ПЗПІ-23-1,2,3,4,5; №4",02/12/2025,04:40 PM,02/12/2025,06:15 PM,"ОПJа Лк DL ПЗПІ-23-1,2,3,4,5"
"ОПJа Лк DL ПЗПІ-23-1,2,3,4,5; №4",02/19/2025,04:40 PM,02/19/2025,06:15 PM,"ОПJа Лк DL ПЗПІ-23-1,2,3,4,5"
"ОС Екз DL ПЗПІ-23-2; №3",06/11/2025,04:40 PM,06/11/2025,06:15 PM,"ОС Екз DL ПЗПІ-23-2"
"ПрПА Екз DL ПЗПІ-23-2; №3",06/18/2025,04:40 PM,06/18/2025,06:15 PM,"ПрПА Екз DL ПЗПІ-23-2"
"*ВІА Зал DL *ВІА(ПЗПІ-23-)-2; №1",06/12/2025,09:30 AM,06/12/2025,11:05 AM,"*ВІА Зал DL *ВІА(ПЗПІ-23-)-2"
"Філ Лк DL ПЗПІ-23-1,2,3,4,5; №1",02/13/2025,11:15 AM,02/13/2025,12:50 PM,"Філ Лк DL ПЗПІ-23-1,2,3,4,5"
"Філ Лк DL ПЗПІ-23-1,2,3,4,5; №1",02/20/2025,11:15 AM,02/20/2025,12:50 PM,"Філ Лк DL ПЗПІ-23-1,2,3,4,5"
"Філ Лк DL ПЗПІ-23-1,2,3,4,5; №1",02/27/2025,11:15 AM,02/27/2025,12:50 PM,"Філ Лк DL ПЗПІ-23-1,2,3,4,5"
"Філ Лк DL ПЗПІ-23-1,2,3,4,5; №1",03/06/2025,11:15 AM,03/06/2025,12:50 PM,"Філ Лк DL ПЗПІ-23-1,2,3,4,5"
"Філ Лк DL ПЗПІ-23-1,2,3,4,5; №1",03/13/2025,11:15 AM,03/13/2025,12:50 PM,"Філ Лк DL ПЗПІ-23-1,2,3,4,5"
"Філ Лк DL ПЗПІ-23-1,2,3,4,5; №1",03/20/2025,11:15 AM,03/20/2025,12:50 PM,"Філ Лк DL ПЗПІ-23-1,2,3,4,5"
"Філ Лк DL ПЗПІ-23-1,2,3,4,5; №1",03/27/2025,11:15 AM,03/27/2025,12:50 PM,"Філ Лк DL ПЗПІ-23-1,2,3,4,5"
"Філ Лк DL ПЗПІ-23-1,2,3,4,5; №1",04/10/2025,11:15 AM,04/10/2025,12:50 PM,"Філ Лк DL ПЗПІ-23-1,2,3,4,5"
"Філ Лк DL ПЗПІ-23-1,2,3,4,5; №1",04/17/2025,11:15 AM,04/17/2025,12:50 PM,"Філ Лк DL ПЗПІ-23-1,2,3,4,5"
"Філ Лк DL ПЗПІ-23-1,2,3,4,5; №1",04/24/2025,11:15 AM,04/24/2025,12:50 PM,"Філ Лк DL ПЗПІ-23-1,2,3,4,5"
"Філ Лк DL ПЗПІ-23-1,2,3,4,5; №1",05/01/2025,11:15 AM,05/01/2025,12:50 PM,"Філ Лк DL ПЗПІ-23-1,2,3,4,5"
"Філ Лк DL ПЗПІ-23-1,2,3,4,5; №1",05/08/2025,11:15 AM,05/08/2025,12:50 PM,"Філ Лк DL ПЗПІ-23-1,2,3,4,5"
"ФВ Пз DL ПЗПІ-23-2; №1",06/05/2025,11:15 AM,06/05/2025,12:50 PM,"ФВ Пз DL ПЗПІ-23-2"
"СмП Зал DL ПЗПІ-23-2; №1",06/19/2025,11:15 AM,06/19/2025,12:50 PM,"СмП Зал DL ПЗПІ-23-2"
"ФВ Пз DL ПЗПІ-23-2; №2",02/13/2025,01:10 PM,02/13/2025,02:45 PM,"ФВ Пз DL ПЗПІ-23-2"
"ФВ Пз DL ПЗПІ-23-2; №2",02/20/2025,01:10 PM,02/20/2025,02:45 PM,"ФВ Пз DL ПЗПІ-23-2"
"ФВ Пз DL ПЗПІ-23-2; №2",02/27/2025,01:10 PM,02/27/2025,02:45 PM,"ФВ Пз DL ПЗПІ-23-2"
"ФВ Пз DL ПЗПІ-23-2; №2",03/06/2025,01:10 PM,03/06/2025,02:45 PM,"ФВ Пз DL ПЗПІ-23-2"
"ФВ Пз DL ПЗПІ-23-2; №2",03/13/2025,01:10 PM,03/13/2025,02:45 PM,"ФВ Пз DL ПЗПІ-23-2"
"ФВ Пз DL ПЗПІ-23-2; №2",03/20/2025,01:10 PM,03/20/2025,02:45 PM,"ФВ Пз DL ПЗПІ-23-2"
"ФВ Пз DL ПЗПІ-23-2; №2",03/27/2025,01:10 PM,03/27/2025,02:45 PM,"ФВ Пз DL ПЗПІ-23-2"
"ФВ Пз DL ПЗПІ-23-2; №2",04/10/2025,01:10 PM,04/10/2025,02:45 PM,"ФВ Пз DL ПЗПІ-23-2"
"ФВ Пз DL ПЗПІ-23-2; №2",04/17/2025,01:10 PM,04/17/2025,02:45 PM,"ФВ Пз DL ПЗПІ-23-2"
"ФВ Пз DL ПЗПІ-23-2; №2",04/24/2025,01:10 PM,04/24/2025,02:45 PM,"ФВ Пз DL ПЗПІ-23-2"
"ФВ Пз DL ПЗПІ-23-2; №2",05/01/2025,01:10 PM,05/01/2025,02:45 PM,"ФВ Пз DL ПЗПІ-23-2"
"ФВ Пз DL ПЗПІ-23-2; №2",05/08/2025,01:10 PM,05/08/2025,02:45 PM,"ФВ Пз DL ПЗПІ-23-2"
"ФВ Пз DL ПЗПІ-23-2; №1",05/15/2025,01:10 PM,05/15/2025,02:45 PM,"ФВ Пз DL ПЗПІ-23-2"
"ФВ Пз DL ПЗПІ-23-2; №1",05/22/2025,01:10 PM,05/22/2025,02:45 PM,"ФВ Пз DL ПЗПІ-23-2"
"ФВ Пз DL ПЗПІ-23-2; №1",05/29/2025,01:10 PM,05/29/2025,02:45 PM,"ФВ Пз DL ПЗПІ-23-2"
"ФВ Пз DL ПЗПІ-23-2; №2",06/05/2025,01:10 PM,06/05/2025,02:45 PM,"ФВ Пз DL ПЗПІ-23-2"
